ARA,AHL,sample,cas9,soxS,ki,kj,qi,qj,GFP
0,0,on_site,100,100,1,1,1,1,323.2156093
1,0,on_site,100,100,1,1,1,1,2516.899645
0,1,on_site,100,100,1,1,1,1,1.794098362
1,1,on_site,100,100,1,1,1,1,799.0151372
0,0,off_target,100,100,1,1,1,1,323.5549916
1,0,off_target,100,100,1,1,1,1,2516.90847
0,1,off_target,100,100,1,1,1,1,128.0068665
1,1,off_target,100,100,1,1,1,1,2512.888458
0,0,on_site,100,100,1,100000,1,1,5.94236008
1,0,on_site,100,100,1,100000,1,1,2361.830261
0,1,on_site,100,100,1,100000,1,1,1.785927213
1,1,on_site,100,100,1,100000,1,1,4.030428946
0,0,off_target,100,100,1,100000,1,1,235.7943466
1,0,off_target,100,100,1,100000,1,1,2516.838688
0,1,off_target,100,100,1,100000,1,1,127.551025
1,1,off_target,100,100,1,100000,1,1,337.1853784
0,0,on_site,100,100,1,1,1,100000,4.180669417
1,0,on_site,100,100,1,1,1,100000,2359.279983
0,1,on_site,100,100,1,1,1,100000,1.83E-05
1,1,on_site,100,100,1,1,1,100000,0.019729604
0,0,off_target,100,100,1,1,1,100000,323.5549916
1,0,off_target,100,100,1,1,1,100000,2516.90847
0,1,off_target,100,100,1,1,1,100000,128.0068665
1,1,off_target,100,100,1,1,1,100000,2.51E+03
0,0,on_site,100,100,1,100000,1,100000,6.17E-05
1,0,on_site,100,100,1,100000,1,100000,9.643080743
0,1,on_site,100,100,1,100000,1,100000,1.82E-05
1,1,on_site,100,100,1,100000,1,100000,4.10E-05
0,0,off_target,100,100,1,100000,1,100000,235.7943466
1,0,off_target,100,100,1,100000,1,100000,2516.838688
0,1,off_target,100,100,1,100000,1,100000,127.551025
1,1,off_target,100,100,1,100000,1,100000,337.1853784
0,0,on_site,100,100,1,1000,1,100000,0.004280556
1,0,on_site,100,100,1,1000,1,100000,527.6167978
0,1,on_site,100,100,1,1000,1,100000,1.82E-05
1,1,on_site,100,100,1,1000,1,100000,0.000451413
0,0,off_target,100,100,1,1000,1,100000,321.9771174
1,0,off_target,100,100,1,1000,1,100000,2516.90764
0,1,off_target,100,100,1,1000,1,100000,127.5514773
1,1,off_target,100,100,1,1000,1,100000,2141.687403
0,0,on_site,10000,100,1,100000,1,100000,4.21E-06
1,0,on_site,10000,100,1,100000,1,100000,5.30E-06
0,1,on_site,10000,100,1,100000,1,100000,1.28E-07
1,1,on_site,10000,100,1,100000,1,100000,2.25E-06
0,0,off_target,10000,100,1,100000,1,100000,2013.3455
1,0,off_target,10000,100,1,100000,1,100000,2517.087775
0,1,off_target,10000,100,1,100000,1,100000,127.5514773
1,1,off_target,10000,100,1,100000,1,100000,2236.197719
0,0,on_site,100,10000,1,100000,1,100000,0.000799776
1,0,on_site,100,10000,1,100000,1,100000,1223.879586
0,1,on_site,100,10000,1,100000,1,100000,1.82E-05
1,1,on_site,100,10000,1,100000,1,100000,0.000499427
0,0,off_target,100,10000,1,100000,1,100000,2013.3455
1,0,off_target,100,10000,1,100000,1,100000,2517.087775
0,1,off_target,100,10000,1,100000,1,100000,127.5514773
1,1,off_target,100,10000,1,100000,1,100000,2236.197721
0,0,on_site,10000,10000,1,100000,1,100000,5.57E-06
1,0,on_site,10000,10000,1,100000,1,100000,0.042534644
0,1,on_site,10000,10000,1,100000,1,100000,1.28E-07
1,1,on_site,10000,10000,1,100000,1,100000,2.80E-06
0,0,off_target,10000,10000,1,100000,1,100000,2545.486449
1,0,off_target,10000,10000,1,100000,1,100000,2550.777204
0,1,off_target,10000,10000,1,100000,1,100000,127.5967109
1,1,off_target,10000,10000,1,100000,1,100000,2548.120022
